ville,pays,latitude,longitude,timestamp_unix,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,MG,-18.8792,47.5079,1776927600,2026-04-23 07:00:00,1,72.44,0.05,0.12,26.08,0.12,0.79,1.89,0.31
Antananarivo,MG,-18.8792,47.5079,1776931200,2026-04-23 08:00:00,1,68.06,0.04,0.09,26.98,0.12,0.69,1.64,0.29
Antananarivo,MG,-18.8792,47.5079,1776934800,2026-04-23 09:00:00,1,66.08,0.03,0.07,26.68,0.12,0.71,1.57,0.28
Antananarivo,MG,-18.8792,47.5079,1776938400,2026-04-23 10:00:00,1,62.3,0.02,0.06,29.46,0.08,0.56,1.17,0.21
Antananarivo,MG,-18.8792,47.5079,1776942000,2026-04-23 11:00:00,1,60.54,0.02,0.05,32.3,0.06,0.51,0.99,0.19
Antananarivo,MG,-18.8792,47.5079,1776945600,2026-04-23 12:00:00,1,60.13,0.02,0.06,33.18,0.06,0.51,0.98,0.19
Antananarivo,MG,-18.8792,47.5079,1776949200,2026-04-23 13:00:00,1,63.71,0.04,0.12,31.4,0.08,0.61,1.32,0.32
Antananarivo,MG,-18.8792,47.5079,1776952800,2026-04-23 14:00:00,1,70.39,0.05,0.26,28.34,0.11,0.84,1.91,0.51
Antananarivo,MG,-18.8792,47.5079,1776956400,2026-04-23 15:00:00,1,77.04,0.01,0.5,25.96,0.13,1.06,2.5,0.64
Antananarivo,MG,-18.8792,47.5079,1776960000,2026-04-23 16:00:00,1,81.97,0.0,0.62,23.88,0.14,1.27,3.07,0.69
Antananarivo,MG,-18.8792,47.5079,1776963600,2026-04-23 17:00:00,1,85.99,0.0,0.64,22.83,0.14,1.43,3.49,0.64
Antananarivo,MG,-18.8792,47.5079,1776967200,2026-04-23 18:00:00,1,86.97,0.0,0.59,22.42,0.13,1.47,3.61,0.47
Antananarivo,MG,-18.8792,47.5079,1776970800,2026-04-23 19:00:00,1,84.88,0.0,0.52,22.11,0.12,1.4,3.51,0.36
Antananarivo,MG,-18.8792,47.5079,1776974400,2026-04-23 20:00:00,1,84.82,0.0,0.5,21.69,0.12,1.38,3.44,0.31
Antananarivo,MG,-18.8792,47.5079,1776978000,2026-04-23 21:00:00,1,82.46,0.0,0.46,21.56,0.1,1.25,3.06,0.27
Antananarivo,MG,-18.8792,47.5079,1776981600,2026-04-23 22:00:00,1,82.4,0.0,0.48,19.94,0.08,1.21,2.86,0.26
Antananarivo,MG,-18.8792,47.5079,1776985200,2026-04-23 23:00:00,1,84.87,0.0,0.54,17.58,0.07,1.29,2.92,0.28
Antananarivo,MG,-18.8792,47.5079,1776988800,2026-04-24 00:00:00,1,86.43,0.0,0.58,15.94,0.07,1.35,2.94,0.32
Antananarivo,MG,-18.8792,47.5079,1776992400,2026-04-24 01:00:00,1,87.09,0.0,0.6,14.93,0.07,1.39,2.94,0.34
Antananarivo,MG,-18.8792,47.5079,1776996000,2026-04-24 02:00:00,1,87.21,0.0,0.6,14.71,0.07,1.41,2.91,0.31
Antananarivo,MG,-18.8792,47.5079,1776999600,2026-04-24 03:00:00,1,87.33,0.0,0.61,15.29,0.07,1.41,2.93,0.3
